UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
6725,11292,10994,2970
6725,11433,11292,3708
6725,14730,11292,2760
6725,15376,11292,3476
6003,11066,11292,1450
6003,13158,11292,1269
6904,11292,15412,1046
6904,15412,11292,1009
6085,12266,13502,1096
6085,13502,12266,916
1260,11193,11292,2486
1260,11292,11193,2380
7041,11292,14783,1462
7041,12278,11292,1157
6700,10800,11292,1059
6700,11292,14698,925
6700,12266,10372,1489
6700,15370,11292,1061
0A875,10713,11292,3522
0A875,11292,10423,3576
0A875,11292,10423,3070
0A875,11292,11298,3383
0A875,11292,11697,3898
0A875,11292,12278,2282
0A875,11292,12758,3552
0A875,11292,13830,3711
0A875,11292,15304,3779
0A875,11697,11292,4189
0A875,12278,11292,2917
0A875,12441,11292,2327
0A875,12758,11292,3052
0A875,13830,11292,3450
0A875,15370,11292,2594
6725,10713,11292,3865
6725,11292,12451,3238
6725,12451,11292,3283
6725,13891,11292,4050
6725,14831,11292,3856
6003,10423,11292,1627
6003,11292,13158,1289
6003,14730,11292,1547
6003,15370,11292,1365
6460,11292,11775,3723
6460,11775,11292,3458
6200,11122,12094,0
6085,11109,12266,962
1177,11292,10950,176
7041,11193,11292,1602
6700,11292,13264,1698
6700,14262,11292,1516
0A875,10721,11292,4020
0A875,11057,11292,2770
0A875,11292,10397,3610
0A875,11292,10713,3660
0A875,11292,11057,2745
0A875,11292,14771,2893
0A875,11298,11292,4022
0A875,13487,11292,3668
0A875,14893,11292,2777
6725,11259,11292,4063
6725,14893,11292,3748
6003,11292,13851,1666
6460,11292,14869,3543
6460,11292,15016,3589
6460,12889,11109,3157
6460,14869,11292,3477
6460,15016,11292,3592
6299,11413,10140,0
7041,13244,11292,1693
7041,13851,11292,1519
6700,10372,12266,1369
6700,10693,11292,1878
6700,11292,10599,1537
6700,11292,11775,1538
6700,11292,14262,1409
6700,11292,14814,1036
6700,11423,11292,1876
6700,12389,11292,857
6700,13871,11292,1856
6700,14814,11292,1034
0A875,11292,15370,2976
