AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_WAC
10423,1042302,30423,74
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11618,1161802,31703,21
12339,1233904,32337,42
12339,1233904,32337,42
13264,1326403,33264,92
13342,1334205,33342,45
14100,1410002,34100,23
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
12451,1245102,31136,33
14771,1477102,32457,91
14869,1486903,34614,87
10397,1039705,30397,34
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11109,1110902,30189,82
11292,1129202,30325,82
11292,1129202,30325,82
11921,1192102,31921,82
13244,1324402,33244,54
11292,1129202,30325,82
11921,1192102,31921,82
12889,1288903,32211,85
11292,1129202,30325,82
15412,1541203,35412,54
10423,1042302,30423,74
10561,1056103,30561,91
11057,1105703,31057,36
11292,1129202,30325,82
11292,1129202,30325,82
14524,1452401,34524,38
10620,1062002,30620,84
10713,1071302,30713,83
10800,1080003,32575,91
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
11603,1160302,31603,92
13198,1319801,33198,64
13342,1334205,33342,45
14100,1410002,34100,23
14122,1412202,30198,23
15370,1537002,34653,73
10423,1042302,30423,74
11042,1104203,30647,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
14193,1419304,33728,33
15370,1537002,34653,73
11003,1100303,31003,61
11292,1129202,30325,82
11775,1177502,31775,67
11292,1129202,30325,82
14730,1473003,33044,52
11292,1129202,30325,82
14107,1410702,30466,81
11292,1129202,30325,82
11193,1119302,33105,52
11292,1129202,30325,82
13851,1385103,33851,73
10423,1042302,30423,74
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11603,1160302,31603,92
13495,1349503,33495,72
14869,1486903,34614,87
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
12889,1288903,32211,85
13198,1319801,33198,64
14492,1449202,34492,36
10693,1069302,30693,54
11109,1110902,30189,82
14771,1477102,32457,91
11292,1129202,30325,82
11292,1129202,30325,82
12012,1201203,32012,82
12094,1209402,34699,82
10466,1046602,30466,81
11109,1110902,30189,82
11109,1110902,30189,82
11921,1192102,31921,82
12889,1288903,32211,85
12892,1289205,32575,91
10643,1064301,30643,64
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11648,1164802,31648,84
11921,1192102,31921,82
13264,1326403,33264,92
10821,1082104,30852,35
11292,1129202,30325,82
11292,1129202,30325,82
11433,1143302,31295,43
11603,1160302,31603,92
12339,1233904,32337,42
13485,1348502,33485,45
11292,1129202,30325,82
11292,1129202,30325,82
12339,1233904,32337,42
13487,1348702,31650,63
14683,1468303,33214,74
11292,1129202,30325,82
14730,1473003,33044,52
11066,1106603,31066,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
15016,1501603,31123,64
10529,1052904,30529,11
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
12264,1226402,30852,38
13495,1349503,33495,72
13891,1389101,32575,91
14262,1426204,34262,91
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13851,1385103,33851,73
14730,1473003,33044,52
14771,1477102,32457,91
12266,1226603,31453,74
11278,1127803,30852,38
11292,1129202,30325,82
11423,1142304,31423,61
11292,1129202,30325,82
13244,1324402,33244,54
11292,1129202,30325,82
15370,1537002,34653,73
11292,1129202,30325,82
15177,1517702,35177,82
10950,1095002,30950,82
14107,1410702,30466,81
11292,1129202,30325,82
13851,1385103,33851,73
10821,1082104,30852,35
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11775,1177502,31775,67
11292,1129202,30325,82
12892,1289205,32575,91
13198,1319801,33198,64
14107,1410702,30466,81
11109,1110902,30189,82
12892,1289205,32575,91
11292,1129202,30325,82
11292,1129202,30325,82
12478,1247803,31703,22
11292,1129202,30325,82
14683,1468303,33214,74
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11298,1129804,30194,74
13342,1334205,33342,45
13487,1348702,31650,63
14893,1489302,33192,91
11292,1129202,30325,82
11638,1163805,31638,91
14783,1478302,34783,64
11193,1119302,33105,52
11292,1129202,30325,82
12953,1295302,31703,22
11292,1129202,30325,82
13367,1336703,33367,41
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13204,1320402,31454,33
14492,1449202,34492,36
14679,1467903,33570,91
10849,1084903,30849,84
11003,1100303,31003,61
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11995,1199502,31995,36
14747,1474703,30559,93
13796,1379604,32457,91
11003,1100303,31003,61
10620,1062002,30620,84
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
12266,1226603,31453,74
13871,1387102,33316,65
13891,1389101,32575,91
14831,1483104,32457,91
11259,1125903,30194,74
11697,1169704,32467,33
10693,1069302,30693,54
11292,1129202,30325,82
11109,1110902,30189,82
11603,1160302,31603,92
14747,1474703,30559,93
10140,1014003,30140,86
11292,1129202,30325,82
13871,1387102,33316,65
14122,1412202,30198,23
11423,1142304,31423,61
11292,1129202,30325,82
13485,1348502,33485,45
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
15919,1591902,31834,71
11109,1110902,30189,82
14747,1474703,30559,93
11433,1143302,31295,43
11292,1129202,30325,82
11292,1129202,30325,82
12889,1288903,32211,85
12953,1295302,31703,22
14747,1474703,30559,93
14893,1489302,33192,91
13244,1324402,33244,54
10693,1069302,30693,54
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13486,1348602,33486,84
15412,1541203,35412,54
11921,1192102,31921,82
11921,1192102,31921,82
13244,1324402,33244,54
13244,1324402,33244,54
13244,1324402,33244,54
12003,1200302,31895,84
12992,1299204,32600,71
10950,1095002,30950,82
14107,1410702,30466,81
11292,1129202,30325,82
11433,1143302,31295,43
15370,1537002,34653,73
10140,1014003,30140,86
11292,1129202,30325,82
11292,1129202,30325,82
11540,1154003,30615,74
14262,1426204,34262,91
11066,1106603,31066,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13264,1326403,33264,92
13495,1349503,33495,72
14122,1412202,30198,23
14831,1483104,32457,91
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
14057,1405702,34057,92
14747,1474703,30559,93
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11603,1160302,31603,92
12278,1227803,30928,62
10140,1014003,30140,86
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
14869,1486903,34614,87
15304,1530402,33195,33
11292,1129202,30325,82
11292,1129202,30325,82
11109,1110902,30189,82
11292,1129202,30325,82
11423,1142304,31423,61
10620,1062002,30620,84
11292,1129202,30325,82
11292,1129202,30325,82
13891,1389101,32575,91
14512,1451202,34512,41
11292,1129202,30325,82
11292,1129202,30325,82
14457,1445702,34457,67
10529,1052904,30529,11
10849,1084903,30849,84
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11775,1177502,31775,67
11884,1188402,31884,93
14570,1457002,34570,85
14771,1477102,32457,91
15304,1530402,33195,33
10140,1014003,30140,86
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
13198,1319801,33198,64
11109,1110902,30189,82
10194,1019403,30194,74
11292,1129202,30325,82
13244,1324402,33244,54
10397,1039705,30397,34
11292,1129202,30325,82
11292,1129202,30325,82
10372,1037203,30372,82
11267,1126702,31267,44
11292,1129202,30325,82
11292,1129202,30325,82
11298,1129804,30194,74
11638,1163805,31638,91
14107,1410702,30466,81
14683,1468303,33214,74
10423,1042302,30423,74
11057,1105703,31057,36
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11775,1177502,31775,67
11292,1129202,30325,82
11292,1129202,30325,82
11423,1142304,31423,61
13930,1393004,30977,41
13487,1348702,31650,63
11292,1129202,30325,82
10713,1071302,30713,83
11292,1129202,30325,82
11292,1129202,30325,82
14869,1486903,34614,87
10397,1039705,30397,34
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11986,1198603,31986,43
13198,1319801,33198,64
13891,1389101,32575,91
14100,1410002,34100,23
14122,1412202,30198,23
15016,1501603,31123,64
15304,1530402,33195,33
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
10140,1014003,30140,86
11711,1171102,31711,86
11292,1129202,30325,82
12094,1209402,34699,82
14783,1478302,34783,64
10372,1037203,30372,82
10423,1042302,30423,74
11447,1144703,31447,66
12992,1299204,32600,71
13029,1302902,33029,65
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11697,1169704,32467,33
13487,1348702,31650,63
13495,1349503,33495,72
13871,1387102,33316,65
14057,1405702,34057,92
14524,1452401,34524,38
14683,1468303,33214,74
14689,1468902,34689,91
11042,1104203,30647,44
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
10627,1062702,30627,66
11292,1129202,30325,82
10140,1014003,30140,86
11109,1110902,30189,82
11711,1171102,31711,86
12094,1209402,34699,82
13244,1324402,33244,54
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
11292,1129202,30325,82
10140,1014003,30140,86
10397,1039705,30397,34
